timestamp,event,key,keysym,keycode
2025-08-13T15:09:28.371,press,e,e,26
2025-08-13T15:09:28.482,release,,e,26
2025-08-13T15:09:28.643,press,r,r,27
2025-08-13T15:09:28.717,release,,r,27
2025-08-13T15:09:29.030,press,y,y,29
2025-08-13T15:09:29.101,release,,y,29
2025-08-13T15:09:29.659,press,o,o,32
2025-08-13T15:09:29.712,release,,o,32
2025-08-13T15:09:29.943,press,n,n,57
2025-08-13T15:09:29.994,release,,n,57
2025-08-13T15:09:30.339,press,e,e,26
2025-08-13T15:09:30.450,release,,e,26
2025-08-13T15:09:30.888,press,.,period,60
2025-08-13T15:09:30.949,release,,period,60
2025-08-13T15:09:31.294,press, ,space,65
2025-08-13T15:09:31.365,release,,space,65
2025-08-13T15:09:31.994,press,,Shift_L,50
2025-08-13T15:09:32.184,press,I,I,31
2025-08-13T15:09:32.258,release,,I,31
2025-08-13T15:09:32.289,release,,Shift_L,50
2025-08-13T15:09:33.222,press,t,t,28
2025-08-13T15:09:33.334,release,,t,28
2025-08-13T15:09:33.779,press,',apostrophe,48
2025-08-13T15:09:33.840,release,,apostrophe,48
2025-08-13T15:09:34.548,press,s,s,39
2025-08-13T15:09:34.689,release,,s,39
2025-08-13T15:09:34.732,press, ,space,65
2025-08-13T15:09:34.803,release,,space,65
2025-08-13T15:09:34.985,press,,Shift_L,50
2025-08-13T15:09:35.145,press,M,M,58
2025-08-13T15:09:35.206,release,,M,58
2025-08-13T15:09:35.211,release,,Shift_L,50
2025-08-13T15:09:35.359,press,u,u,30
2025-08-13T15:09:35.430,release,,u,30
2025-08-13T15:09:35.631,press,l,l,46
2025-08-13T15:09:35.702,release,,l,46
2025-08-13T15:09:35.765,press,l,l,46
2025-08-13T15:09:35.827,release,,l,46
2025-08-13T15:09:35.867,press,a,a,38
2025-08-13T15:09:35.988,release,,a,38
2025-08-13T15:09:36.098,press, ,space,65
2025-08-13T15:09:36.169,release,,space,65
2025-08-13T15:09:36.960,press,h,h,43
2025-08-13T15:09:37.032,release,,h,43
